,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
576,36047029500,4.1,92.7,18.1,3.8
577,36047029600,3.9,88.6,16.9,52.0
578,36047029700,1.3,92.8,15.3,6.2
579,36047029800,2.3,91.2,14.9,41.5
580,36047029900,4.6,94.3,22.3,5.9
581,36047030000,5.3,85.7,14.6,42.7
582,36047030100,12.2,92.0,20.6,3.1
583,36047030200,2.3,93.1,14.2,42.6
584,36047030300,9.9,98.0,22.8,7.2
585,36047030400,6.7,90.2,19.3,41.6
586,36047030500,3.0,97.4,12.8,7.3
587,36047030600,10.4,92.5,19.5,41.6
588,36047030700,10.4,95.7,42.1,4.2
589,36047030800,8.7,93.3,11.8,35.8
590,36047030900,12.5,92.8,14.0,9.0
591,36047031100,12.7,92.7,24.7,5.5
592,36047031300,3.3,92.4,20.8,0.9
593,36047031400,6.1,92.7,9.7,40.5
594,36047031500,3.3,95.4,15.1,5.6
595,36047031701,8.9,92.9,10.3,1.8
596,36047031702,6.4,96.0,9.3,1.3
