,GeoID,E_Advance,E_PreS
863,36047072200,29.1,40.4
864,36047072400,31.9,86.3
865,36047072600,24.8,50.7
866,36047072800,31.1,45.1
867,36047073000,41.6,77.0
868,36047073200,29.9,75.0
869,36047073400,39.6,100.0
870,36047073600,30.7,26.0
871,36047073800,33.6,37.3
872,36047074000,32.3,85.7
873,36047074200,25.5,71.1
874,36047074400,44.8,68.9
875,36047074600,37.2,86.4
876,36047074800,52.8,78.4
877,36047075000,44.1,100.0
878,36047075200,59.7,100.0
879,36047075400,50.2,17.6
880,36047075600,51.0,90.3
881,36047076000,60.0,50.9
882,36047076200,49.4,45.9
883,36047076400,41.5,66.1
884,36047076600,33.0,41.7
885,36047076800,48.7,52.2
886,36047077000,42.2,100.0
887,36047077200,40.7,14.8
888,36047077400,35.4,89.0
889,36047077600,45.3,35.5
890,36047078000,30.0,66.7
891,36047078200,27.9,67.9
892,36047078400,33.7,47.2
893,36047078600,27.3,40.7
894,36047078800,24.7,78.2
895,36047079000,25.8,100.0
896,36047079200,30.5,71.9
897,36047079400,21.4,32.3
898,36047079601,34.9,21.5
899,36047079602,39.0,42.1
900,36047079801,57.6,35.0
901,36047079802,47.7,0.0
902,36047080000,48.3,73.1
903,36047080200,38.3,100.0
904,36047080600,35.3,40.3
905,36047080800,10.1,100.0
906,36047081000,25.8,30.2
907,36047081400,18.5,10.7
908,36047081600,22.8,75.5
909,36047081800,38.1,45.8
910,36047082000,18.1,55.5
911,36047082200,28.0,46.8
912,36047082400,23.2,100.0
913,36047082600,31.7,70.8
914,36047082800,24.7,36.6
915,36047083000,28.5,0.0
916,36047083200,28.7,47.9
917,36047083400,22.9,22.7
918,36047083600,28.9,66.7
919,36047083800,27.3,100.0
920,36047084000,15.8,42.3
921,36047084600,23.8,83.7
922,36047084800,32.7,55.3
923,36047085000,20.6,100.0
